2,215.5,216,218.6,241.2,241.9,233.9,231.2,255.8
10,215.8,216.3,218.7,241.4,241.9,233.6,231.2,255.9
18,215.5,216.2,218.6,241.2,241.9,232.7,231.2,255.8
26,215.5,216.2,218.6,241.2,241.8,232.1,231.2,255.8
34,215.5,216.3,218.6,241.2,241.8,241.9,231.2,255.8
42,215.8,216.3,218.7,241.4,241.9,284.8,231.2,255.8
50,216,216.2,218.7,241.8,241.9,346,231.2,255.8
58,219.8,215.9,218.6,244.5,242,427.6,231.2,255.7
66,235.6,216,218.6,253.5,241.9,494.3,231.2,255.8
74,272.5,216.4,219.6,276.1,241.9,536.1,231.2,255.8
78,299.2,216.3,219.3,290.4,241.9,546.2,231.2,255.8
79,305.2,216.3,219.3,294,241.9,548.1,231.2,255.7
80,310.8,216.7,219.6,297.4,242.2,550.2,231.2,255.6
81,316.1,216.3,219.4,300.3,241.9,553.4,231.2,255.6
82,321.1,216.3,219.2,303.1,242,559.4,231.2,255.7
83,326.8,216.4,219.2,306.2,242.1,564.7,231.2,255.6
84,334.1,216.2,219.2,309.2,242,570.2,231.2,255.7
85,341.7,216.4,219.2,312.5,242.1,574.2,231.2,255.7
86,348.7,216.5,219.3,316.2,242.1,576.2,231.2,255.6
87,355.8,216.4,219.2,319.8,242,578.2,231.2,255.7
88,363.9,216.9,219.6,324.6,242.3,579.8,231.2,255.5
89,371.5,216.9,219.6,328.7,242.3,582.1,231.2,255.5
90,378.6,216.8,219.3,332.4,242.2,585.2,231.2,255.7
91,386.5,217,219.7,336.6,242.3,588.2,231.2,255.5
92,393.7,217,219.5,340.3,242.3,590.8,231.2,255.6
93,401.3,217.2,219.6,344.3,242.4,591.2,231.2,255.6
94,408.8,217.4,219.5,348.3,242.4,590.8,231.5,255.6
95,416.6,217.5,219.8,352.5,242.7,589.9,232.7,255.5
96,423.5,217.9,219.7,356.3,242.8,586.7,233.7,255.6
97,430.9,218.3,219.9,360.6,243.1,582.5,235,255.4
98,437.7,218.4,219.9,364.4,242.9,578,236.1,255.6
99,444.3,218.5,219.9,368.6,243.1,571.7,237.6,255.5
100,450.8,219.3,220.3,372.9,243.4,565.3,238.7,255.4
101,457,219.6,220.5,377.3,243.7,559.1,240.1,255.4
102,462.6,220,220.6,381.1,244,552.7,241.4,255.4
103,468,220.1,220.4,385.2,244,546.6,242.7,255.5
104,473.2,220.9,220.9,389.3,244.2,540.1,244,255.5
105,478.1,221.6,221.2,393.2,244.5,533.2,245.3,255.5
106,483.1,222.4,221.7,397.5,245.2,526.8,246.7,255.4
107,487.2,222.8,221.7,401,245.2,520.8,248,255.5
108,491.5,223.9,222.2,404.8,245.8,515,249.2,255.4
109,495.1,224.3,222.3,408.2,246,509.5,250.4,255.5
110,498.8,225.4,223,411.9,246.5,503.6,251.7,255.4
111,502,226.1,223.4,415.3,247,498.6,252.8,255.4
112,505.1,226.7,223.5,418.2,247.2,494.2,254,255.5
113,507.7,227.7,223.9,421.3,247.4,489.3,254.9,255.4
